_id,latitude,longitude,rssi,logdate,mcc,mnc,lac,cellid,site_lat,site_lng,tech,ber,callstate,roaming,datastate,dataactivity,make,model,mobilerxbytes,mobiletxbytes,totalrxbytes,totaltxbytes,snr,notes,cellname
1,29888585,-97946522,-71,21 Mar 2014 14:29:02,310,260,2791,25942,0,0,UMTS,0,IDLE,No,DISCONNECTED,NONE,samsung,SGH-T699,1825,1022,651654,195102,-1,,
2,29888538,-97946462,-65,21 Mar 2014 14:29:08,310,260,2791,15942,0,0,HSPA+,0,IDLE,No,CONNECTED,OUT,samsung,SGH-T699,18571,5471,23318,10218,-1,,
3,29888506,-97946398,-67,21 Mar 2014 14:29:13,310,260,2791,15942,0,0,HSPA+,0,IDLE,No,CONNECTED,INOUT,samsung,SGH-T699,38595,15666,42021,19060,-1,,
4,29888490,-97946283,-69,21 Mar 2014 14:29:17,310,260,2791,15942,0,0,HSPA+,0,IDLE,No,CONNECTED,INOUT,samsung,SGH-T699,35563,13089,41076,18602,-1,,
5,29888489,-97946222,-69,21 Mar 2014 14:29:22,310,260,2791,15942,0,0,HSPA+,0,IDLE,No,CONNECTED,INOUT,samsung,SGH-T699,14355,3834,14937,4416,-1,,
6,29888493,-97946162,-71,21 Mar 2014 14:29:28,310,260,2791,15942,0,0,HSPA+,0,IDLE,No,CONNECTED,OUT,samsung,SGH-T699,880,1488,1460,2068,-1,,
7,29888501,-97946105,-75,21 Mar 2014 14:29:33,310,260,2791,15942,0,0,HSPA+,0,IDLE,No,CONNECTED,INOUT,samsung,SGH-T699,15257,5478,15865,6058,-1,,
8,29888513,-97946053,-73,21 Mar 2014 14:29:37,310,260,2791,15942,0,0,UMTS,0,IDLE,No,CONNECTED,NONE,samsung,SGH-T699,0,0,580,580,-1,,
9,29888522,-97945945,-73,21 Mar 2014 14:29:42,310,260,2791,15942,0,0,HSPA+,0,IDLE,No,CONNECTED,INOUT,samsung,SGH-T699,28896,8622,30348,10074,-1,,
10,29888544,-97945896,-75,21 Mar 2014 14:29:47,310,260,2791,15942,0,0,HSPA+,0,IDLE,No,CONNECTED,INOUT,samsung,SGH-T699,20307,5641,20887,6221,-1,,
11,29888569,-97945840,-77,21 Mar 2014 14:29:52,310,260,2791,15942,0,0,HSPA+,0,IDLE,No,CONNECTED,OUT,samsung,SGH-T699,10795,3916,11375,4496,-1,,
